date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:59	394/394	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202024%2017:17:59%20GMT	https://cataloguefort-12345.my.canva.site/robots.txt		(from )
20:17:59	197958/197958	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20May%202024%2017:17:36%20GMT	https://cataloguefort-12345.my.canva.site/	C:/My%20Web%20Sites/iphone/cataloguefort-12345.my.canva.site/index.html	(from )
20:17:59	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20May%202024%2017:17:59%20GMT	http://cataloguefort-12345.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	C:/My%20Web%20Sites/iphone/cataloguefort-12345.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.0.delayed	(from https://cataloguefort-12345.my.canva.site/)
20:18:00	510/510	---M--	200	added ('OK')	image/png	date:Sun,%2012%20May%202024%2017:17:59%20GMT	https://cataloguefort-12345.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	C:/My%20Web%20Sites/iphone/cataloguefort-12345.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	(from https://cataloguefort-12345.my.canva.site/)
20:18:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20May%202024%2017:17:59%20GMT	http://cataloguefort-12345.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/My%20Web%20Sites/iphone/cataloguefort-12345.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://cataloguefort-12345.my.canva.site/)
20:18:00	1053/1053	---M--	200	added ('OK')	image/png	date:Sun,%2012%20May%202024%2017:18:00%20GMT	https://cataloguefort-12345.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/My%20Web%20Sites/iphone/cataloguefort-12345.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://cataloguefort-12345.my.canva.site/)
20:18:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20May%202024%2017:18:00%20GMT	http://cataloguefort-12345.my.canva.site/725b756a69a7d4c235070e51acd85560.png	C:/My%20Web%20Sites/iphone/cataloguefort-12345.my.canva.site/725b756a69a7d4c235070e51acd85560.png	(from https://cataloguefort-12345.my.canva.site/)
20:18:01	6245/6245	---M--	200	added ('OK')	image/png	date:Sun,%2012%20May%202024%2017:18:00%20GMT	https://cataloguefort-12345.my.canva.site/725b756a69a7d4c235070e51acd85560.png	C:/My%20Web%20Sites/iphone/cataloguefort-12345.my.canva.site/725b756a69a7d4c235070e51acd85560.png	(from https://cataloguefort-12345.my.canva.site/)
20:18:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20May%202024%2017:18:00%20GMT	http://cataloguefort-12345.my.canva.site/fonts/02aa6cc8432f0f12f626f982da288a7b.woff2	C:/My%20Web%20Sites/iphone/cataloguefort-12345.my.canva.site/fonts/02aa6cc8432f0f12f626f982da288a7b.woff2	(from https://cataloguefort-12345.my.canva.site/)
20:18:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20May%202024%2017:18:01%20GMT	http://cataloguefort-12345.my.canva.site/fonts/a26fb2e545ea4d91b9808446bd10482b.woff2	C:/My%20Web%20Sites/iphone/cataloguefort-12345.my.canva.site/fonts/a26fb2e545ea4d91b9808446bd10482b.woff2	(from https://cataloguefort-12345.my.canva.site/)
